Week,AwayTeamName,AwayTeamID,HomeTeamName,HomeTeamID,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,Conference_away,Conference_home,TeamsConcatenated
8,Pittsburgh Panthers,28,Wake Forest Demon Deacons,34,,,,False,Atlantic Coast,Atlantic Coast,Pittsburgh Panthers vs Wake Forest Demon Deacons
8,Clemson Tigers,27,Miami Hurricanes,23,,,,False,Atlantic Coast,Atlantic Coast,Clemson Tigers vs Miami Hurricanes
8,Duke Blue Devils,26,Florida State Seminoles,29,,,,False,Atlantic Coast,Atlantic Coast,Duke Blue Devils vs Florida State Seminoles
8,Boston College Eagles,35,Georgia Tech Yellow Jackets,32,,,,False,Atlantic Coast,Atlantic Coast,Boston College Eagles vs Georgia Tech Yellow Jackets
8,UCF Knights,8,Oklahoma Sooners,105,,,,False,Big 12,Big 12,UCF Knights vs Oklahoma Sooners
8,Baylor Bears,108,Cincinnati Bearcats,4,,,,False,Big 12,Big 12,Baylor Bears vs Cincinnati Bearcats
8,TCU Horned Frogs,114,Kansas State Wildcats,112,,,,False,Big 12,Big 12,TCU Horned Frogs vs Kansas State Wildcats
8,Texas Longhorns,109,Houston Cougars,6,,,,False,Big 12,Big 12,Texas Longhorns vs Houston Cougars
8,Texas Tech Red Raiders,111,BYU Cougars,336,,,,False,Big 12,Big 12,Texas Tech Red Raiders vs BYU Cougars
8,Oklahoma State Cowboys,113,West Virginia Mountaineers,107,,,,False,Big 12,Big 12,Oklahoma State Cowboys vs West Virginia Mountaineers
8,Charlotte 49ers,142,East Carolina Pirates,9,,,,False,American Athletic,American Athletic,Charlotte 49ers vs East Carolina Pirates
8,Rice Owls,146,Tulsa Golden Hurricane,5,,,2023-10-19T23:00:00,False,American Athletic,American Athletic,Rice Owls vs Tulsa Golden Hurricane
8,SMU Mustangs,1,Temple Owls,2,,,2023-10-20T23:00:00,False,American Athletic,American Athletic,SMU Mustangs vs Temple Owls
